subjID,condition,switch,group,correct,correct_8,explore,status,time,totalEarn
C453973,static,0.101265823,adult,1,1,0.0625,NA,NA,468
C455114,static,0.101265823,adult,1,1,0.0625,NA,NA,468
C458938,dynamic,0.291139241,adult,1,1,0.175,1,57,468
C467685,static,0.050632911,adult,0.6,1,0.025,NA,NA,460
C473189,static,0.227848101,adult,0.6,1,0.1375,NA,NA,465
C497408,static,0.113924051,adult,1,1,0.0625,NA,NA,461
C500496,dynamic,0.050632911,adult,0.8,0,0.075,0,80,456
C508528,dynamic,0.189873418,adult,0.8,0,0.2125,0,80,456
C508699,static,0.050632911,adult,0.8,0,0.025,NA,NA,433
C510966,dynamic,0.126582278,adult,0.8,0,0.075,0,80,449
C512952,static,0.050632911,adult,0.6,1,0.0375,NA,NA,456
C516895,static,0.151898734,adult,1,1,0.075,NA,NA,420
C525597,static,0.075949367,adult,0.6,1,0.05,NA,NA,253
C533545,dynamic,0.113924051,adult,0.8,0,0.075,0,80,456
C542538,static,0.063291139,adult,1,1,0.025,NA,NA,468
C546592,static,0.253164557,adult,0.8,1,0.1625,NA,NA,465
C546829,dynamic,0.17721519,adult,0.6,1,0.0875,1,63,465
C549644,dynamic,0.620253165,adult,0.4,0,0.5375,1,50,464
C550827,static,0.430379747,adult,1,1,0.3,NA,NA,468
C554893,dynamic,0.101265823,adult,0.4,0,0.05,0,80,468
C557613,dynamic,0.215189873,adult,0.4,1,0.1375,1,52,455
C581757,dynamic,0.063291139,adult,0.8,0,0.05,0,80,458
C597861,dynamic,0.050632911,adult,0.4,0,0.025,0,80,455
C619536,static,0.101265823,adult,1,1,0.075,NA,NA,447
C628667,static,0.139240506,adult,1,1,0.075,NA,NA,459
C657154,static,0.139240506,adult,1,1,0.1,NA,NA,461
C657532,dynamic,0.202531646,adult,0.6,1,0.1,1,69,456
C694371,dynamic,0.265822785,adult,0.8,0,0.15,0,80,468
C701897,static,0.037974684,adult,1,1,0.0125,NA,NA,426
C702816,static,0.050632911,adult,1,1,0.025,NA,NA,456
C710910,static,0.050632911,adult,1,1,0.025,NA,NA,463
C715506,static,0.050632911,adult,0.4,0,0.025,NA,NA,468
C722096,static,0.101265823,adult,1,1,0.0625,NA,NA,468
C724041,static,0.101265823,adult,1,1,0.0625,NA,NA,444
C728723,static,0.063291139,adult,1,1,0.025,NA,NA,465
C731954,static,0.050632911,adult,0,0,0.025,NA,NA,464
C733870,static,0.050632911,adult,1,1,0.0125,NA,NA,420
C759783,dynamic,0.139240506,adult,0.8,0,0.0875,0,80,379
C762877,dynamic,0.050632911,adult,0.4,0,0.025,0,80,464
C764029,dynamic,0.139240506,adult,1,1,0.0875,1,68,456
C779773,static,0.037974684,adult,0.6,1,0.025,NA,NA,453
C785202,static,0.17721519,adult,0.6,1,0.1125,NA,NA,446
C786384,dynamic,0.050632911,adult,0.4,0,0.025,0,80,468
C793907,static,0.088607595,adult,1,1,0.1625,NA,NA,468
C801520,static,0.101265823,adult,0.6,1,0.075,NA,NA,456
C802058,static,0.164556962,adult,1,1,0.1,NA,NA,465
C809735,dynamic,0.050632911,adult,0.4,0,0.0375,0,80,468
C819074,static,0.151898734,adult,1,1,0.125,NA,NA,468
C828287,static,0.189873418,adult,1,1,0.1,NA,NA,468
C848021,static,0.113924051,adult,0.6,1,0.0625,NA,NA,441
C855126,static,0.037974684,adult,1,1,0,NA,NA,414
