"subjID","condition","switch","group","correct","correct_8","correct_1","correct_2","correct_3","correct_6","explore","status","time","totalEarn"
"C246782","static",0.113924050632911,"adult",0.6,1,1,0,0,1,0.0625,NA,NA,456
"C246902","dynamic",0.10126582278481,"adult",0.8,0,1,1,1,1,0.075,0,80,456
"C269990","dynamic",0.329113924050633,"adult",1,1,1,1,1,1,0.2125,1,40,490
"C276861","static",0.0506329113924051,"adult",1,1,1,1,1,1,0.0375,NA,NA,468
"C285659","static",0.0759493670886076,"adult",0.6,1,0,0,1,1,0.0375,NA,NA,465
"C294690","static",0.0506329113924051,"adult",0.4,0,0,0,1,1,0.025,NA,NA,465
"C300083","static",0.0632911392405063,"adult",0.4,1,0,0,0,1,0.0125,NA,NA,464
"C305651","dynamic",0.278481012658228,"adult",0.4,1,0,0,0,1,0.1875,1,48,477
"C308534","dynamic",0.215189873417722,"adult",1,1,1,1,1,1,0.1375,1,58,478
"C311031","static",0.0506329113924051,"adult",0.6,1,1,0,0,1,0.0375,NA,NA,468
"C312383","static",0.0379746835443038,"adult",1,1,1,1,1,1,0.0125,NA,NA,468
"C323917","static",0.151898734177215,"adult",1,1,1,1,1,1,0.075,NA,NA,455
"C341958","dynamic",0.0506329113924051,"adult",0.2,0,0,0,1,0,0.0125,0,80,464
"C355547","dynamic",0.215189873417722,"adult",0.8,1,0,1,1,1,0.1125,1,58,481
"C366200","dynamic",0.151898734177215,"adult",1,1,1,1,1,1,0.0875,1,77,453
"C367466","dynamic",0.10126582278481,"adult",0.8,0,1,1,1,1,0.05,0,80,461
"C368364","dynamic",0.417721518987342,"adult",1,1,1,1,1,1,0.25,1,55,451
"C372078","dynamic",0.0632911392405063,"adult",0.4,0,1,0,0,1,0.0375,0,80,468
"C382811","static",0.126582278481013,"adult",1,1,1,1,1,1,0.0625,NA,NA,458
"C396695","static",0.0759493670886076,"adult",1,1,1,1,1,1,0.0375,NA,NA,455
"C404864","dynamic",0.215189873417722,"adult",0.4,1,0,0,0,1,0.1125,1,56,484
"C405681","static",0.0759493670886076,"adult",1,1,1,1,1,1,0.025,NA,NA,465
"C407811","static",0.139240506329114,"adult",0.8,1,1,0,1,1,0.05,NA,NA,447
"C413970","dynamic",0.645569620253165,"adult",0,0,0,0,0,0,0.5625,1,41,365
"C416119","static",0.113924050632911,"adult",1,1,1,1,1,1,0.075,NA,NA,451
"C430222","static",0.0886075949367089,"adult",1,1,1,1,1,1,0.05,NA,NA,461
"C433786","dynamic",0.443037974683544,"adult",0.2,0,0,0,1,0,0.3,1,54,413
"C447421","dynamic",0.0886075949367089,"adult",0.8,0,1,1,1,1,0.0375,0,80,457
"C450524","static",0.10126582278481,"adult",1,1,1,1,1,1,0.075,NA,NA,456
"C453973","static",0.10126582278481,"adult",1,1,1,1,1,1,0.0625,NA,NA,461
"C455114","static",0.10126582278481,"adult",1,1,1,1,1,1,0.0625,NA,NA,462
"C458938","dynamic",0.291139240506329,"adult",1,1,1,1,1,1,0.175,1,57,469
"C467685","static",0.0506329113924051,"adult",0.6,1,0,1,0,1,0.025,NA,NA,468
"C473189","static",0.227848101265823,"adult",0.6,1,1,0,0,1,0.1375,NA,NA,426
"C497408","static",0.113924050632911,"adult",1,1,1,1,1,1,0.0625,NA,NA,456
"C500496","dynamic",0.0506329113924051,"adult",0.8,0,1,1,1,1,0.075,0,80,444
"C508528","dynamic",0.189873417721519,"adult",0.8,0,1,1,1,1,0.2125,0,80,415
"C508699","static",0.0506329113924051,"adult",0.8,0,1,1,1,1,0.025,NA,NA,468
"C510966","dynamic",0.126582278481013,"adult",0.8,0,1,1,1,1,0.075,0,80,457
"C512952","static",0.0506329113924051,"adult",0.6,1,1,0,0,1,0.0375,NA,NA,468
"C516895","static",0.151898734177215,"adult",1,1,1,1,1,1,0.075,NA,NA,444
"C525597","static",0.0759493670886076,"adult",0.6,1,1,0,0,1,0.05,NA,NA,465
"C533545","dynamic",0.113924050632911,"adult",0.8,0,1,1,1,1,0.075,0,80,453
"C542538","static",0.0632911392405063,"adult",1,1,1,1,1,1,0.025,NA,NA,464
"C546592","static",0.253164556962025,"adult",0.8,1,0,1,1,1,0.1625,NA,NA,420
"C546829","dynamic",0.177215189873418,"adult",0.6,1,0,1,0,1,0.0875,1,63,483
"C549644","dynamic",0.620253164556962,"adult",0.4,0,0,0,1,1,0.5375,1,50,378
"C550827","static",0.430379746835443,"adult",1,1,1,1,1,1,0.3,NA,NA,379
"C554893","dynamic",0.10126582278481,"adult",0.4,0,0,1,0,1,0.05,0,80,461
"C557613","dynamic",0.215189873417722,"adult",0.4,1,0,0,0,1,0.1375,1,52,485
"C581757","dynamic",0.0632911392405063,"adult",0.8,0,1,1,1,1,0.05,0,80,458
"C597861","dynamic",0.0506329113924051,"adult",0.4,0,1,0,0,1,0.025,0,80,468
"C619536","static",0.10126582278481,"adult",1,1,1,1,1,1,0.075,NA,NA,456
"C628667","static",0.139240506329114,"adult",1,1,1,1,1,1,0.075,NA,NA,453
"C657154","static",0.139240506329114,"adult",1,1,1,1,1,1,0.1,NA,NA,446
"C657532","dynamic",0.20253164556962,"adult",0.6,1,1,0,0,1,0.1,1,69,460
"C694371","dynamic",0.265822784810127,"adult",0.8,0,1,1,1,1,0.15,0,80,425
"C701897","static",0.0379746835443038,"adult",1,1,1,1,1,1,0.0125,NA,NA,468
"C702816","static",0.0506329113924051,"adult",1,1,1,1,1,1,0.025,NA,NA,468
"C710910","static",0.0506329113924051,"adult",1,1,1,1,1,1,0.025,NA,NA,468
"C715506","static",0.0506329113924051,"adult",0.4,0,0,0,1,1,0.025,NA,NA,468
"C722096","static",0.10126582278481,"adult",1,1,1,1,1,1,0.0625,NA,NA,456
"C724041","static",0.10126582278481,"adult",1,1,1,1,1,1,0.0625,NA,NA,456
"C728723","static",0.0632911392405063,"adult",1,1,1,1,1,1,0.025,NA,NA,465
"C731954","static",0.0506329113924051,"adult",0,0,0,0,0,0,0.025,NA,NA,468
"C733870","static",0.0506329113924051,"adult",1,1,1,1,1,1,0.0125,NA,NA,468
"C759783","dynamic",0.139240506329114,"adult",0.8,0,1,1,1,1,0.0875,0,80,444
"C762877","dynamic",0.0506329113924051,"adult",0.4,0,1,0,0,1,0.025,0,80,468
"C764029","dynamic",0.139240506329114,"adult",1,1,1,1,1,1,0.0875,1,68,473
"C779773","static",0.0379746835443038,"adult",0.6,1,0,0,1,1,0.025,NA,NA,468
"C785202","static",0.177215189873418,"adult",0.6,1,0,0,1,1,0.1125,NA,NA,441
"C786384","dynamic",0.0506329113924051,"adult",0.4,0,1,0,0,1,0.025,0,80,468
"C793907","static",0.0886075949367089,"adult",1,1,1,1,1,1,0.1625,NA,NA,414
"C801520","static",0.10126582278481,"adult",0.6,1,1,0,0,1,0.075,NA,NA,456
"C802058","static",0.164556962025316,"adult",1,1,1,1,1,1,0.1,NA,NA,449
"C809735","dynamic",0.0506329113924051,"adult",0.4,0,1,0,0,1,0.0375,0,80,468
"C819074","static",0.151898734177215,"adult",1,1,1,1,1,1,0.125,NA,NA,429
"C828287","static",0.189873417721519,"adult",1,1,1,1,1,1,0.1,NA,NA,441
"C848021","static",0.113924050632911,"adult",0.6,1,1,0,0,1,0.0625,NA,NA,456
"C855126","static",0.0379746835443038,"adult",1,1,1,1,1,1,0,NA,NA,468
"C865800","static",0.113924050632911,"adult",1,1,1,1,1,1,0.075,NA,NA,453
"C883278","static",0.291139240506329,"adult",1,1,1,1,1,1,0.175,NA,NA,415
"C885660","static",0.379746835443038,"adult",1,1,1,1,1,1,0.3125,NA,NA,381
"C915326","static",0.265822784810127,"adult",0.8,0,1,1,1,1,0.15,NA,NA,424
"C927583","static",0.0506329113924051,"adult",1,1,1,1,1,1,0.025,NA,NA,468
"C932729","static",0.291139240506329,"adult",1,1,1,1,1,1,0.2,NA,NA,409
"C932956","dynamic",0.0759493670886076,"adult",0.8,0,1,1,1,1,0.0375,0,80,465
"C942598","dynamic",0.341772151898734,"adult",1,1,1,1,1,1,0.1875,1,50,471
"C942827","static",0.10126582278481,"adult",0.8,0,1,1,1,1,0.0875,NA,NA,451
"C950491","dynamic",0.126582278481013,"adult",0.8,0,1,1,1,1,0.075,0,80,456
"C958556","static",0.20253164556962,"adult",0.4,1,0,0,0,1,0.1125,NA,NA,445
"C972222","static",0.0632911392405063,"adult",1,1,1,1,1,1,0.0375,NA,NA,464
"C979608","dynamic",0.20253164556962,"adult",0.6,1,0,0,1,1,0.1,1,54,493
"C983147","dynamic",0.0632911392405063,"adult",0.2,0,0,0,0,1,0.025,0,80,464
"C990326","static",0.265822784810127,"adult",1,1,1,1,1,1,0.1625,NA,NA,413
"C996097","static",0.10126582278481,"adult",1,1,1,1,1,1,0.0625,NA,NA,456
"C998204","dynamic",0.0506329113924051,"adult",0.8,0,1,1,1,1,0.025,0,80,468
