subjID,AgeYear
S011,10.55
I025,9.391666667
I026,9.391666667
I027,8.65
I028,6.666666667
I029,8.433333333
I030,6.675
I031,8.616666667
I032,6.183333333
I033,8.275
I034,11.50833333
I035,12.11666667
I037 ,7.983333333
I038,10.06666667
I039,9.85
I040,10.90833333
I042,10.85833333
I043,5.783333333
I044,10.88333333
I045,11.83333333
I046,8.716666667
I047,6.091666667
I048,7.391666667
I049,8.925
I050,9.508333333
I051,4.891666667
I052,7.7
I053,8.758333333
I054,6.775
I056,7.433333333
I058,6.483333333
I059,7.283333333
I060,5.608333333
I061,6.933333333
I062,11.375
I063,7.358333333
I064,9.116666667
I066,8.625
I067,7.833333333
I068,6.525
I069,6.233333333
I070,10.48333333
I071,8.675
I072,9.858333333
I073,10.325
I074,10.89166667
I075,7.508333333
I076,10.86666667
I077,9.333333333
I078,7.916666667
C106540,19
C108472,27
C114455,60
C117906,36
C118442,29
C121661,32
C122521,42
C124605,30
C141267,30
C151358,40
C170329,29
C175114,35
C195993,37
C199694,28
C214082,33
C214332,52
C236616,27
C241350,26
C246782,33
C246902,27
C269990,27
C276861,30
C285659,34
C294690,53
C300083,36
C305651,29
C308534,39
C311031,34
C312383,39
C323917,29
C341958,25
C355547,32
C366200,28
C367466,48
C368364,28
C372078,28
C382811,35
C396695,27
C404864,29
C405681,28
C407811,44
C413970,37
C416119,30
C430222,61
C433786,28
C447421,33
C450524,32
C453973,22
C455114,35
C458938,29
C467685,37
C473189,34
C497408,42
C500496,36
C508528,34
C508699,25
C510966,49
C512952,35
C516895,45
C525597,39
C533545,32
C542538,36
C546592,40
C546829,29
C549644,31
C550827,47
C554893,47
C557613,37
C581757,60
C597861,37
C619536,36
C628667,28
C657154,36
C657532,52
C694371,32
C701897,36
C702816,33
C710910,24
C715506,40
C722096,28
C724041,35
C728723,32
C731954,32
C733870,41
C759783,29
C762877,33
C764029,32
C779773,32
C785202,28
C786384,33
C793907,30
C801520,34
C802058,32
C809735,49
C819074,36
C828287,35
C848021,23
C855126,35
C865800,38
C883278,55
C885660,53
C915326,28
C927583,28
C932729,30
C932956,35
C942598,44
C942827,51
C950491,46
C958556,31
C972222,40
C979608,57
C983147,35
C990326,57
C996097,28
C998204,30
